text,class_id,class_name,split,template_type
Field scouts observed mild leaf disease symptoms requiring immediate treatment in the leaf tip.,4,red_leaf_spot,train,cross_class
Tea bushes in the Kangra garden show chronic leaf symptoms requiring diagnostic testing.,1,helopeltis,train,cross_class
Disease pressure on tea upper leaf surface has been severe in the current growing season.,1,helopeltis,train,cross_class
The tea leaf shows distinct advanced gray patches with irregular margins spreading across the leaf midrib.,0,gray_blight,train,class_specific
Crop monitoring detected chronic anomalies in tea lower leaf surface coloration indicating possible disease.,1,helopeltis,train,cross_class
Brown blight causes mild water-soaked lesions that turn necrotic on the tea petiole.,3,brown_blight,train,class_specific
Weather-related stress compounded by widespread fungal infection on tea upper leaf surface tissue.,0,gray_blight,train,cross_class
Extension officer identified acute disease outbreak affecting tea mature leaf in the cooperative.,2,algal_leaf_spot,train,cross_class
Disease pressure on tea leaf lamina has been acute in the current growing season.,0,gray_blight,train,cross_class
Tea quality tests show degraded leaf integrity with severe damage to petiole structures.,0,gray_blight,train,cross_class
Crop monitoring detected severe anomalies in tea mature leaf coloration indicating possible disease.,3,brown_blight,train,cross_class
Tea cultivation report: acute stress indicators found on leaf midrib across multiple plots.,0,gray_blight,train,cross_class
Red leaf spot creates mild reddish-brown circular lesions on the upper tea leaf midrib surface.,4,red_leaf_spot,train,class_specific
Pest and disease survey recorded severe damage to tea upper leaf surface in highland gardens.,1,helopeltis,train,cross_class
Remote sensing detected chronic spectral anomalies in tea canopy at leaf lamina level.,0,gray_blight,train,cross_class
Tea quality tests show degraded leaf integrity with extensive damage to leaf midrib structures.,0,gray_blight,train,cross_class
Tea plant mature leaf affected by acute algal spots showing concentric rings and orange sporulation.,2,algal_leaf_spot,val,class_specific
The tea leaf shows distinct moderate gray patches with irregular margins spreading across the lower leaf surface.,0,gray_blight,val,class_specific
Agronomists identified chronic disease patterns on tea leaf lamina consistent with pathogen infection.,2,algal_leaf_spot,train,cross_class
The tea plantation in Munnar reports significant crop stress affecting the leaf midrib of plants.,2,algal_leaf_spot,train,cross_class
Extension officer identified advanced disease outbreak affecting tea petiole in the cooperative.,1,helopeltis,train,cross_class
The leaf midrib of tea plants shows early-stage signs of stress possibly related to environmental factors.,2,algal_leaf_spot,train,cross_class
Tea cultivation report: mild stress indicators found on lower leaf surface across multiple plots.,4,red_leaf_spot,train,cross_class
Tea crop health assessment shows acute fungal infection spreading through leaf tip tissue.,1,helopeltis,val,cross_class
Tea leaves display mild brown blight patches caused by Colletotrichum species on petiole.,3,brown_blight,val,class_specific
Agronomists identified localized disease patterns on tea petiole consistent with pathogen infection.,0,gray_blight,train,cross_class
The upper leaf surface has acute algal spot colonies with characteristic powdery orange surface texture.,2,algal_leaf_spot,val,class_specific
The tea flush shows severe helopeltis bug puncture wounds with dark halos on lower leaf surface.,1,helopeltis,train,class_specific
The leaf lamina shows chronic brown blight symptoms with irregular dark brown spots and margins.,3,brown_blight,train,class_specific
Tea plant upper leaf surface affected by severe algal spots showing concentric rings and orange sporulation.,2,algal_leaf_spot,train,class_specific
Crop monitoring detected moderate anomalies in tea young shoot coloration indicating possible disease.,4,red_leaf_spot,train,cross_class
The leaf lamina shows moderate red spot disease caused by Phyllosticta with characteristic red margins.,4,red_leaf_spot,train,class_specific
Tea bushes in the Kangra garden show severe leaf symptoms requiring diagnostic testing.,4,red_leaf_spot,train,cross_class
Extension officer identified extensive disease outbreak affecting tea leaf lamina in the cooperative.,0,gray_blight,train,cross_class
Tea leaves display severe brown blight patches caused by Colletotrichum species on upper leaf surface.,3,brown_blight,train,class_specific
Field scouts observed severe leaf disease symptoms requiring immediate treatment in the upper leaf surface.,0,gray_blight,val,cross_class
Algal leaf spot disease presents advanced circular lesions with orange spore masses on leaf lamina.,2,algal_leaf_spot,val,class_specific
Tea cultivation report: moderate stress indicators found on leaf tip across multiple plots.,0,gray_blight,val,cross_class
Leaf biopsy from the leaf tip shows advanced cellular damage consistent with pathogen attack.,1,helopeltis,train,cross_class
Helopeltis feeding damage causes advanced brown scorch marks on the petiole of tea shoots.,1,helopeltis,train,class_specific
Remote sensing detected early-stage spectral anomalies in tea canopy at leaf midrib level.,2,algal_leaf_spot,train,cross_class
Weather-related stress compounded by advanced fungal infection on tea upper leaf surface tissue.,1,helopeltis,train,cross_class
Gray blight infection causes chronic grayish-brown lesions on the leaf lamina of tea plants.,0,gray_blight,train,class_specific
Tea bushes in the Nilgiri garden show acute leaf symptoms requiring diagnostic testing.,4,red_leaf_spot,train,cross_class
Tea quality tests show degraded leaf integrity with extensive damage to leaf midrib structures.,2,algal_leaf_spot,train,cross_class
Tea estate management flagged widespread infection on the mature leaf requiring fungicide application.,4,red_leaf_spot,val,cross_class
Weather-related stress compounded by moderate fungal infection on tea leaf midrib tissue.,2,algal_leaf_spot,train,cross_class
Weather-related stress compounded by mild fungal infection on tea mature leaf tissue.,4,red_leaf_spot,train,cross_class
Farmers noted localized red leaf spot outbreaks causing leaf margin damage and reduced yield.,4,red_leaf_spot,train,class_specific
Severe moderate brown blight infection results in premature defoliation of tea petiole.,3,brown_blight,val,class_specific
The upper leaf surface shows mixed mild symptoms suggesting complex tea leaf disease interaction.,3,brown_blight,train,cross_class
Circular mild algal leaf spots with raised orange-red centers appear on the petiole.,2,algal_leaf_spot,train,class_specific
Tea bushes in the Kangra garden show early-stage leaf symptoms requiring diagnostic testing.,2,algal_leaf_spot,val,cross_class
Weather-related stress compounded by severe fungal infection on tea leaf tip tissue.,0,gray_blight,train,cross_class
The young shoot of tea plants shows widespread signs of stress possibly related to environmental factors.,3,brown_blight,train,cross_class
The young shoot shows early-stage red spot disease caused by Phyllosticta with characteristic red margins.,4,red_leaf_spot,val,class_specific
Disease pressure on tea leaf midrib has been localized in the current growing season.,4,red_leaf_spot,train,cross_class
Agronomists identified localized disease patterns on tea young shoot consistent with pathogen infection.,4,red_leaf_spot,train,cross_class
Tea crop health assessment shows mild fungal infection spreading through leaf margin tissue.,2,algal_leaf_spot,val,cross_class
The petiole shows widespread red spot disease caused by Phyllosticta with characteristic red margins.,4,red_leaf_spot,train,class_specific
The tea plantation in Kangra reports significant crop stress affecting the young shoot of plants.,2,algal_leaf_spot,train,cross_class
Tea cultivation report: advanced stress indicators found on young shoot across multiple plots.,2,algal_leaf_spot,train,cross_class
Tea growers reported localized gray blight damage with necrotic spots covering the petiole.,0,gray_blight,train,class_specific
Tea bushes in the Kangra garden show extensive leaf symptoms requiring diagnostic testing.,0,gray_blight,train,cross_class
Field scouts observed moderate leaf disease symptoms requiring immediate treatment in the lower leaf surface.,4,red_leaf_spot,train,cross_class
Leaf biopsy from the lower leaf surface shows widespread cellular damage consistent with pathogen attack.,2,algal_leaf_spot,train,cross_class
Field scouts observed moderate leaf disease symptoms requiring immediate treatment in the petiole.,3,brown_blight,val,cross_class
The young shoot shows mixed localized symptoms suggesting complex tea leaf disease interaction.,2,algal_leaf_spot,train,cross_class
The leaf tip shows advanced red spot disease caused by Phyllosticta with characteristic red margins.,4,red_leaf_spot,val,class_specific
Affected tea shoots display early-stage necrotic tissue with a characteristic gray discoloration.,0,gray_blight,train,class_specific
Tea cultivation report: localized stress indicators found on young shoot across multiple plots.,1,helopeltis,train,cross_class
Tea leaves display mild brown blight patches caused by Colletotrichum species on leaf midrib.,3,brown_blight,train,class_specific
The petiole shows acute brown blight symptoms with irregular dark brown spots and margins.,3,brown_blight,train,class_specific
The leaf midrib displays early-stage red spot symptoms with sunken centers and dark red borders.,4,red_leaf_spot,val,class_specific
Weather-related stress compounded by moderate fungal infection on tea lower leaf surface tissue.,1,helopeltis,val,cross_class
Remote sensing detected localized spectral anomalies in tea canopy at mature leaf level.,1,helopeltis,train,cross_class
Agronomists identified mild disease patterns on tea leaf lamina consistent with pathogen infection.,0,gray_blight,val,cross_class
The lower leaf surface shows mixed extensive symptoms suggesting complex tea leaf disease interaction.,0,gray_blight,train,cross_class
Tea bushes in the Munnar garden show moderate leaf symptoms requiring diagnostic testing.,2,algal_leaf_spot,train,cross_class
The young shoot displays classic helopeltis infestation marks with moderate brown stippling patterns.,1,helopeltis,train,class_specific
Tea quality tests show degraded leaf integrity with extensive damage to leaf margin structures.,3,brown_blight,train,cross_class
Brown blight causes chronic water-soaked lesions that turn necrotic on the tea mature leaf.,3,brown_blight,train,class_specific
Tea estate management flagged widespread infection on the leaf midrib requiring fungicide application.,3,brown_blight,train,cross_class
Tea leaves display extensive brown blight patches caused by Colletotrichum species on young shoot.,3,brown_blight,val,class_specific
Pest and disease survey recorded localized damage to tea leaf midrib in highland gardens.,4,red_leaf_spot,train,cross_class
The young shoot of the tea bush exhibits gray blight symptoms including widespread sunken lesions.,0,gray_blight,val,class_specific
Tea leaves show extensive Cephaleuros virescens spots creating rust-orange patches on petiole.,2,algal_leaf_spot,train,class_specific
Tea crop health assessment shows mild fungal infection spreading through leaf lamina tissue.,0,gray_blight,train,cross_class
The mature leaf has severe algal spot colonies with characteristic powdery orange surface texture.,2,algal_leaf_spot,train,class_specific
Tea crop health assessment shows severe fungal infection spreading through upper leaf surface tissue.,4,red_leaf_spot,train,cross_class
The leaf midrib of tea plants shows mild signs of stress possibly related to environmental factors.,3,brown_blight,train,cross_class
Helopeltis feeding damage causes early-stage brown scorch marks on the leaf tip of tea shoots.,1,helopeltis,train,class_specific
Tea tip borer helopeltis has caused advanced characteristic shot-hole patterns on the leaf margin.,1,helopeltis,train,class_specific
Weather-related stress compounded by widespread fungal infection on tea leaf lamina tissue.,2,algal_leaf_spot,val,cross_class
The leaf midrib shows mixed widespread symptoms suggesting complex tea leaf disease interaction.,1,helopeltis,val,cross_class
Tea bushes in the Darjeeling garden show mild leaf symptoms requiring diagnostic testing.,0,gray_blight,val,cross_class
Leaf biopsy from the leaf margin shows acute cellular damage consistent with pathogen attack.,4,red_leaf_spot,train,cross_class
Tea leaves show localized Cephaleuros virescens spots creating rust-orange patches on young shoot.,2,algal_leaf_spot,train,class_specific
Tea estate management flagged early-stage infection on the mature leaf requiring fungicide application.,3,brown_blight,train,cross_class
Tea estate management flagged localized infection on the leaf midrib requiring fungicide application.,4,red_leaf_spot,train,cross_class
The petiole of tea plants shows mild signs of stress possibly related to environmental factors.,2,algal_leaf_spot,val,cross_class
Tea tip borer helopeltis has caused acute characteristic shot-hole patterns on the mature leaf.,1,helopeltis,val,class_specific
Tea bushes in the Nilgiri garden show advanced leaf symptoms requiring diagnostic testing.,4,red_leaf_spot,val,cross_class
Young tea shoots suffer early-stage helopeltis damage with angular leaf lamina lesions and necrosis.,1,helopeltis,train,class_specific
The young shoot exhibits advanced discoloration and tissue damage consistent with tea leaf disease.,2,algal_leaf_spot,train,cross_class
Tea estate management flagged chronic infection on the leaf lamina requiring fungicide application.,4,red_leaf_spot,train,cross_class
Field scouts observed acute leaf disease symptoms requiring immediate treatment in the petiole.,0,gray_blight,val,cross_class
The leaf midrib of the tea bush exhibits gray blight symptoms including severe sunken lesions.,0,gray_blight,train,class_specific
The leaf midrib of tea plants shows advanced signs of stress possibly related to environmental factors.,3,brown_blight,train,cross_class
Tea quality tests show degraded leaf integrity with advanced damage to mature leaf structures.,0,gray_blight,train,cross_class
The tea plantation in Darjeeling reports significant crop stress affecting the upper leaf surface of plants.,4,red_leaf_spot,train,cross_class
Tea estate management flagged mild infection on the leaf margin requiring fungicide application.,2,algal_leaf_spot,train,cross_class
The leaf margin of tea plants shows widespread signs of stress possibly related to environmental factors.,0,gray_blight,val,cross_class
Red leaf spot creates severe reddish-brown circular lesions on the upper tea leaf midrib surface.,4,red_leaf_spot,train,class_specific
Farmers noted advanced red leaf spot outbreaks causing leaf margin damage and reduced yield.,4,red_leaf_spot,val,class_specific
Affected tea shoots display chronic necrotic tissue with a characteristic gray discoloration.,0,gray_blight,train,class_specific
Leaf biopsy from the young shoot shows extensive cellular damage consistent with pathogen attack.,1,helopeltis,train,cross_class
Tea crop health assessment shows advanced fungal infection spreading through leaf margin tissue.,3,brown_blight,train,cross_class
The tea leaf shows distinct localized gray patches with irregular margins spreading across the upper leaf surface.,0,gray_blight,train,class_specific
The mature leaf displays widespread red spot symptoms with sunken centers and dark red borders.,4,red_leaf_spot,val,class_specific
Tea quality tests show degraded leaf integrity with chronic damage to leaf margin structures.,1,helopeltis,train,cross_class
The lower leaf surface of tea plants shows extensive signs of stress possibly related to environmental factors.,1,helopeltis,val,cross_class
The leaf margin shows mixed advanced symptoms suggesting complex tea leaf disease interaction.,3,brown_blight,train,cross_class
Tea estate management flagged severe infection on the lower leaf surface requiring fungicide application.,3,brown_blight,train,cross_class
The leaf tip of the tea bush exhibits gray blight symptoms including localized sunken lesions.,0,gray_blight,train,class_specific
Extension officer identified moderate disease outbreak affecting tea petiole in the cooperative.,0,gray_blight,val,cross_class
The petiole has extensive algal spot colonies with characteristic powdery orange surface texture.,2,algal_leaf_spot,train,class_specific
Crop monitoring detected mild anomalies in tea lower leaf surface coloration indicating possible disease.,4,red_leaf_spot,train,cross_class
The tea plantation in Darjeeling reports significant crop stress affecting the upper leaf surface of plants.,1,helopeltis,train,cross_class
Red leaf spot creates localized reddish-brown circular lesions on the upper tea leaf lamina surface.,4,red_leaf_spot,val,class_specific
Tea growers reported acute gray blight damage with necrotic spots covering the petiole.,0,gray_blight,val,class_specific
The tea plantation in Sylhet reports significant crop stress affecting the lower leaf surface of plants.,0,gray_blight,train,cross_class
Tea crop health assessment shows moderate fungal infection spreading through leaf margin tissue.,4,red_leaf_spot,train,cross_class
Tea leaves exhibit early-stage red leaf spot lesions with distinct reddish centers on leaf margin.,4,red_leaf_spot,train,class_specific
Tea bushes in the Assam garden show moderate leaf symptoms requiring diagnostic testing.,2,algal_leaf_spot,train,cross_class
Algal leaf spot disease presents early-stage circular lesions with orange spore masses on lower leaf surface.,2,algal_leaf_spot,val,class_specific
The lower leaf surface shows mixed mild symptoms suggesting complex tea leaf disease interaction.,2,algal_leaf_spot,train,cross_class
Weather-related stress compounded by moderate fungal infection on tea upper leaf surface tissue.,1,helopeltis,val,cross_class
Tea quality tests show degraded leaf integrity with early-stage damage to mature leaf structures.,1,helopeltis,train,cross_class
The leaf margin displays classic helopeltis infestation marks with moderate brown stippling patterns.,1,helopeltis,train,class_specific
Tea quality tests show degraded leaf integrity with moderate damage to leaf margin structures.,3,brown_blight,train,cross_class
Tea tip borer helopeltis has caused moderate characteristic shot-hole patterns on the leaf midrib.,1,helopeltis,train,class_specific
The leaf midrib of tea plants shows chronic signs of stress possibly related to environmental factors.,3,brown_blight,train,cross_class
Leaf biopsy from the leaf lamina shows mild cellular damage consistent with pathogen attack.,4,red_leaf_spot,train,cross_class
Gray blight infection causes early-stage grayish-brown lesions on the leaf lamina of tea plants.,0,gray_blight,train,class_specific
Disease pressure on tea leaf tip has been early-stage in the current growing season.,3,brown_blight,train,cross_class
The leaf tip shows mixed moderate symptoms suggesting complex tea leaf disease interaction.,0,gray_blight,train,cross_class
Tea quality tests show degraded leaf integrity with early-stage damage to mature leaf structures.,3,brown_blight,train,cross_class
The tea leaf shows distinct extensive gray patches with irregular margins spreading across the lower leaf surface.,0,gray_blight,train,class_specific
The tea flush shows advanced helopeltis bug puncture wounds with dark halos on leaf lamina.,1,helopeltis,val,class_specific
Remote sensing detected moderate spectral anomalies in tea canopy at petiole level.,4,red_leaf_spot,train,cross_class
Leaf biopsy from the leaf tip shows early-stage cellular damage consistent with pathogen attack.,1,helopeltis,train,cross_class
Brown blight causes localized water-soaked lesions that turn necrotic on the tea petiole.,3,brown_blight,val,class_specific
Agronomists identified extensive disease patterns on tea leaf tip consistent with pathogen infection.,3,brown_blight,train,cross_class
Remote sensing detected widespread spectral anomalies in tea canopy at leaf lamina level.,1,helopeltis,train,cross_class
Tea cultivation report: mild stress indicators found on leaf margin across multiple plots.,4,red_leaf_spot,train,cross_class
Tea cultivation report: extensive stress indicators found on leaf tip across multiple plots.,0,gray_blight,train,cross_class
Leaf biopsy from the leaf tip shows acute cellular damage consistent with pathogen attack.,1,helopeltis,train,cross_class
Brown blight causes acute water-soaked lesions that turn necrotic on the tea young shoot.,3,brown_blight,val,class_specific
Field scouts observed early-stage leaf disease symptoms requiring immediate treatment in the young shoot.,1,helopeltis,train,cross_class
The tea flush shows localized helopeltis bug puncture wounds with dark halos on petiole.,1,helopeltis,train,class_specific
Farmers noted localized red leaf spot outbreaks causing leaf tip damage and reduced yield.,4,red_leaf_spot,val,class_specific
Tea leaves exhibit localized red leaf spot lesions with distinct reddish centers on lower leaf surface.,4,red_leaf_spot,train,class_specific
Brown blight causes mild water-soaked lesions that turn necrotic on the tea petiole.,3,brown_blight,train,class_specific
The tea mature leaf has moderate brown blight lesions with concentric rings and yellow halos.,3,brown_blight,train,class_specific
Field scouts observed acute leaf disease symptoms requiring immediate treatment in the leaf midrib.,3,brown_blight,train,cross_class
The tea leaf shows distinct early-stage gray patches with irregular margins spreading across the upper leaf surface.,0,gray_blight,val,class_specific
Tea bushes in the Sri Lanka garden show severe leaf symptoms requiring diagnostic testing.,3,brown_blight,train,cross_class
Tea bushes in the Assam garden show acute leaf symptoms requiring diagnostic testing.,2,algal_leaf_spot,val,cross_class
Severe mild brown blight infection results in premature defoliation of tea lower leaf surface.,3,brown_blight,train,class_specific
The leaf margin has localized algal spot colonies with characteristic powdery orange surface texture.,2,algal_leaf_spot,train,class_specific
The petiole shows mixed widespread symptoms suggesting complex tea leaf disease interaction.,1,helopeltis,train,cross_class
The leaf margin shows mixed extensive symptoms suggesting complex tea leaf disease interaction.,3,brown_blight,train,cross_class
The leaf lamina of the tea bush exhibits gray blight symptoms including chronic sunken lesions.,0,gray_blight,train,class_specific
The upper leaf surface has mild algal spot colonies with characteristic powdery orange surface texture.,2,algal_leaf_spot,train,class_specific
Extension officer identified extensive disease outbreak affecting tea leaf margin in the cooperative.,3,brown_blight,train,cross_class
The tea petiole has extensive brown blight lesions with concentric rings and yellow halos.,3,brown_blight,train,class_specific
The tea leaf shows distinct advanced gray patches with irregular margins spreading across the petiole.,0,gray_blight,train,class_specific
Tea quality tests show degraded leaf integrity with mild damage to leaf midrib structures.,4,red_leaf_spot,train,cross_class
Tea estate management flagged extensive infection on the lower leaf surface requiring fungicide application.,2,algal_leaf_spot,train,cross_class
Weather-related stress compounded by acute fungal infection on tea petiole tissue.,2,algal_leaf_spot,train,cross_class
Tea leaves exhibit localized red leaf spot lesions with distinct reddish centers on petiole.,4,red_leaf_spot,train,class_specific
The young shoot shows moderate red spot disease caused by Phyllosticta with characteristic red margins.,4,red_leaf_spot,train,class_specific
Field scouts observed mild leaf disease symptoms requiring immediate treatment in the leaf midrib.,2,algal_leaf_spot,train,cross_class
Extension officer identified acute disease outbreak affecting tea lower leaf surface in the cooperative.,3,brown_blight,train,cross_class
Tea crop health assessment shows moderate fungal infection spreading through leaf margin tissue.,4,red_leaf_spot,val,cross_class
The leaf margin exhibits localized discoloration and tissue damage consistent with tea leaf disease.,1,helopeltis,train,cross_class
Severe chronic brown blight infection results in premature defoliation of tea leaf lamina.,3,brown_blight,train,class_specific
The leaf tip of the tea bush exhibits gray blight symptoms including extensive sunken lesions.,0,gray_blight,train,class_specific
Field scouts observed early-stage leaf disease symptoms requiring immediate treatment in the lower leaf surface.,4,red_leaf_spot,train,cross_class
Young tea shoots suffer mild helopeltis damage with angular leaf margin lesions and necrosis.,1,helopeltis,train,class_specific
Tea estate management flagged localized infection on the mature leaf requiring fungicide application.,0,gray_blight,train,cross_class
Tea crop health assessment shows mild fungal infection spreading through mature leaf tissue.,2,algal_leaf_spot,train,cross_class
Leaf biopsy from the leaf lamina shows localized cellular damage consistent with pathogen attack.,1,helopeltis,train,cross_class
The lower leaf surface exhibits early-stage discoloration and tissue damage consistent with tea leaf disease.,1,helopeltis,train,cross_class
Tea leaves show advanced Cephaleuros virescens spots creating rust-orange patches on leaf midrib.,2,algal_leaf_spot,train,class_specific
The tea leaf midrib has severe brown blight lesions with concentric rings and yellow halos.,3,brown_blight,val,class_specific
Brown blight causes widespread water-soaked lesions that turn necrotic on the tea leaf tip.,3,brown_blight,train,class_specific
Circular moderate algal leaf spots with raised orange-red centers appear on the leaf tip.,2,algal_leaf_spot,train,class_specific
Field scouts observed mild leaf disease symptoms requiring immediate treatment in the upper leaf surface.,2,algal_leaf_spot,train,cross_class
The mature leaf has chronic algal spot colonies with characteristic powdery orange surface texture.,2,algal_leaf_spot,train,class_specific
Tea bushes in the Kangra garden show moderate leaf symptoms requiring diagnostic testing.,2,algal_leaf_spot,train,cross_class
Tea bushes in the Munnar garden show advanced leaf symptoms requiring diagnostic testing.,0,gray_blight,val,cross_class
Tea leaves exhibit localized red leaf spot lesions with distinct reddish centers on leaf lamina.,4,red_leaf_spot,train,class_specific
Extension officer identified localized disease outbreak affecting tea leaf tip in the cooperative.,1,helopeltis,train,cross_class
The petiole displays widespread red spot symptoms with sunken centers and dark red borders.,4,red_leaf_spot,train,class_specific
Young tea shoots suffer mild helopeltis damage with angular leaf lamina lesions and necrosis.,1,helopeltis,train,class_specific
Pest and disease survey recorded acute damage to tea young shoot in highland gardens.,4,red_leaf_spot,train,cross_class
Young tea shoots suffer early-stage helopeltis damage with angular leaf lamina lesions and necrosis.,1,helopeltis,train,class_specific
The mature leaf of tea plants shows severe signs of stress possibly related to environmental factors.,2,algal_leaf_spot,train,cross_class
Farmers noted acute red leaf spot outbreaks causing upper leaf surface damage and reduced yield.,4,red_leaf_spot,train,class_specific
Field scouts observed early-stage leaf disease symptoms requiring immediate treatment in the leaf tip.,4,red_leaf_spot,train,cross_class
Weather-related stress compounded by extensive fungal infection on tea mature leaf tissue.,3,brown_blight,val,cross_class
Disease pressure on tea young shoot has been severe in the current growing season.,0,gray_blight,train,cross_class
Tea bushes in the Kangra garden show chronic leaf symptoms requiring diagnostic testing.,0,gray_blight,train,cross_class
The petiole has chronic algal spot colonies with characteristic powdery orange surface texture.,2,algal_leaf_spot,train,class_specific
Tea quality tests show degraded leaf integrity with extensive damage to young shoot structures.,1,helopeltis,train,cross_class
Circular mild algal leaf spots with raised orange-red centers appear on the upper leaf surface.,2,algal_leaf_spot,train,class_specific
Leaf biopsy from the leaf midrib shows extensive cellular damage consistent with pathogen attack.,0,gray_blight,train,cross_class
The lower leaf surface shows widespread red spot disease caused by Phyllosticta with characteristic red margins.,4,red_leaf_spot,train,class_specific
The petiole exhibits acute discoloration and tissue damage consistent with tea leaf disease.,1,helopeltis,train,cross_class
Remote sensing detected acute spectral anomalies in tea canopy at leaf lamina level.,1,helopeltis,train,cross_class
Disease pressure on tea leaf lamina has been acute in the current growing season.,0,gray_blight,val,cross_class
Leaf biopsy from the leaf tip shows early-stage cellular damage consistent with pathogen attack.,2,algal_leaf_spot,val,cross_class
Agronomists identified early-stage disease patterns on tea young shoot consistent with pathogen infection.,1,helopeltis,train,cross_class
Remote sensing detected chronic spectral anomalies in tea canopy at upper leaf surface level.,3,brown_blight,train,cross_class
Tea plant petiole affected by extensive algal spots showing concentric rings and orange sporulation.,2,algal_leaf_spot,train,class_specific
Tea crop health assessment shows chronic fungal infection spreading through leaf midrib tissue.,1,helopeltis,train,cross_class
Weather-related stress compounded by widespread fungal infection on tea young shoot tissue.,3,brown_blight,train,cross_class
Remote sensing detected advanced spectral anomalies in tea canopy at mature leaf level.,0,gray_blight,train,cross_class
Tea estate management flagged severe infection on the mature leaf requiring fungicide application.,3,brown_blight,train,cross_class
The upper leaf surface shows mixed moderate symptoms suggesting complex tea leaf disease interaction.,2,algal_leaf_spot,train,cross_class
The mature leaf displays mild red spot symptoms with sunken centers and dark red borders.,4,red_leaf_spot,train,class_specific
Field scouts observed severe leaf disease symptoms requiring immediate treatment in the mature leaf.,3,brown_blight,train,cross_class
The young shoot displays classic helopeltis infestation marks with chronic brown stippling patterns.,1,helopeltis,train,class_specific
Disease pressure on tea lower leaf surface has been chronic in the current growing season.,2,algal_leaf_spot,val,cross_class
Weather-related stress compounded by acute fungal infection on tea leaf lamina tissue.,1,helopeltis,train,cross_class
Tea crop health assessment shows mild fungal infection spreading through mature leaf tissue.,1,helopeltis,train,cross_class
The lower leaf surface shows mixed mild symptoms suggesting complex tea leaf disease interaction.,1,helopeltis,train,cross_class
Tea bushes in the Darjeeling garden show widespread leaf symptoms requiring diagnostic testing.,4,red_leaf_spot,train,cross_class
The petiole displays widespread red spot symptoms with sunken centers and dark red borders.,4,red_leaf_spot,train,class_specific
Red leaf spot creates acute reddish-brown circular lesions on the upper tea leaf midrib surface.,4,red_leaf_spot,train,class_specific
Disease pressure on tea leaf lamina has been extensive in the current growing season.,4,red_leaf_spot,train,cross_class
The upper leaf surface shows widespread red spot disease caused by Phyllosticta with characteristic red margins.,4,red_leaf_spot,train,class_specific
Tea quality tests show degraded leaf integrity with widespread damage to petiole structures.,1,helopeltis,val,cross_class
Field scouts observed widespread leaf disease symptoms requiring immediate treatment in the leaf margin.,3,brown_blight,train,cross_class
Tea cultivation report: advanced stress indicators found on young shoot across multiple plots.,1,helopeltis,train,cross_class
Tea leaves display extensive brown blight patches caused by Colletotrichum species on mature leaf.,3,brown_blight,train,class_specific
Tea bushes in the Kangra garden show localized leaf symptoms requiring diagnostic testing.,0,gray_blight,train,cross_class
Tea crop health assessment shows localized fungal infection spreading through mature leaf tissue.,0,gray_blight,train,cross_class
